id,title,ArtistId,LabelId,GenreId,album_art,release_year,createdAt,updatedAt
1,Exile,1,1,1,http://ecx.images-amazon.com/images/I/51x8skEGtXL._SX300_.jpg,1990,"2018-02-10 20:58:12","2018-02-11 12:56:31"
2,"Southern Fashion",2,2,1,http://ecx.images-amazon.com/images/I/6139OLQUB5L._SL500_SY300_.jpg,2012,"2018-02-10 20:58:14","2018-02-11 12:56:31"
3,"1,039 / Smoothed Out Slappy Hours",3,3,1,http://ecx.images-amazon.com/images/I/514507RCQHL.jpg,1991,"2018-02-10 20:58:16","2018-02-11 12:56:31"
4,Emergency,4,4,1,http://ecx.images-amazon.com/images/I/51V%2B9bfcrjL._SY300_.jpg,1997,"2018-02-10 20:58:18","2018-02-11 12:56:31"
5,"Choice of a New Generation",5,5,1,http://ecx.images-amazon.com/images/I/315PFDF7AWL.jpg,1994,"2018-02-10 20:58:20","2018-02-11 12:56:31"
6,Deflowered,6,5,1,http://ecx.images-amazon.com/images/I/51ARPPY94SL._SX300_.jpg,1992,"2018-02-10 20:58:22","2018-02-11 12:56:31"
7,"Wesley Willis",7,6,1,http://ecx.images-amazon.com/images/I/51OK3665P9L._SL500_.jpg,1995,"2018-02-10 20:58:24","2018-02-11 12:56:31"
8,"Carry the Banner",8,5,1,http://ecx.images-amazon.com/images/I/51ATZXNQ2YL.jpg,1995,"2018-02-10 20:58:26","2018-02-11 12:56:31"
9,"Love Is Dead",9,5,1,http://ecx.images-amazon.com/images/I/41NGY4VRZ7L.jpg,1996,"2018-02-10 20:58:28","2018-02-11 12:56:31"
10,Kerplunk!,3,7,1,http://ecx.images-amazon.com/images/I/41MKRBQE1CL._SX300_.jpg,1992,"2018-02-10 20:58:30","2018-02-11 12:56:31"
11,"Don't Back Down",10,8,1,http://ecx.images-amazon.com/images/I/41D29WG33PL.jpg,1996,"2018-02-10 20:58:32","2018-02-11 12:56:31"
12,"A Day Late and a Dollar Short",10,7,1,http://ecx.images-amazon.com/images/I/41DSMRXX2AL.jpg,1996,"2018-02-10 20:58:34","2018-02-11 12:56:31"
13,"Welcome to My Mind",11,5,1,http://ecx.images-amazon.com/images/I/5158JYAWXGL._SX300_.jpg,1995,"2018-02-10 20:58:37","2018-02-11 12:56:31"
14,Riverdales,12,5,1,http://ecx.images-amazon.com/images/I/411AVFVFFQL._SX300_.jpg,1995,"2018-02-10 20:58:39","2018-02-11 12:56:31"
15,"More Lovin' from Our Oven",6,5,1,http://ecx.images-amazon.com/images/I/51A7Q84CAQL.jpg,1997,"2018-02-10 20:58:41","2018-02-11 12:56:31"
16,"6 Demon Bang",13,9,1,http://ecx.images-amazon.com/images/I/61hk-kX-uZL._SL500_SX300_.jpg,1992,"2018-02-10 20:58:43","2018-02-11 12:56:31"
17,"Go You",14,10,1,http://ecx.images-amazon.com/images/I/31TWHM9TJCL.jpg,1994,"2018-02-10 20:58:45","2018-02-11 12:56:31"
18,"Appetite for Adrenochrome",15,3,1,http://ecx.images-amazon.com/images/I/31J2S4PYQRL.jpg,1989,"2018-02-10 20:58:47","2018-02-11 12:56:31"
19,"Love Songs for the Retarded",10,11,1,http://ecx.images-amazon.com/images/I/51M5GGJXX4L._SX300_.jpg,1993,"2018-02-10 20:58:51","2018-02-11 12:56:31"
