id,artist_name
1,"Geoffrey Oryema"
2,"The Sudden Passion"
3,"Green Day"
4,999
5,Fifteen
6,"Pansy Division"
7,"Wesley Willis"
8,"Pinhead Gunpowder"
9,"Mr. T Experience"
10,Queers
11,Hi-Fives
12,Riverdales
13,"Industrial Artz"
14,Allstonians
15,"Groovie Ghoulies"
16,Battery
17,Dive
18,"The Divine Comedy"
19,Filth/Blatz
20,Diatribe
21,Pony
22,Stoa
23,"Punch The Clown"
24,Fluffy
25,"OC Supertones"
26,Dogbowl
27,Z-Rock
28,Kroonenberg
29,Swans
30,"Catherine Wheel"
31,"The Birthday Party"
32,Articles
33,Tubalcain
34,Mx-80
35,"One 21"
36,"Ned's Atomic Dustbin"
37,Superchunk
38,"Sack Lunch"
39,"Quincy Punx"
40,"Boris The Sprinkler"
41,"Various Artists - Soundtracks - Film Scores"
42,"Beatnik Filmstars"
43,"The Hives"
44,"The Comsat Angels"
45,Contingence
46,"Fountains Of Wayne"
47,"Step Ahead"
48,"Throbbing Gristle"
49,"Legendary Pink Dots"
50,"Eleventh Dream Day"
51,"Illusion Of Safety"
52,"Tit Wrench"
53,"Severed Heads"
54,Antischism
55,"Lazy Cowgirls"
56,"Lou Reed"
57,"Sister Machine Gun"
58,"Soft Cell"
59,"Thin White Rope"
60,"Golden Palominos"
61,"Simon Raymonde"
62,"Miracle Legion"
63,"Ghoti Hook"
64,"Roadside Monument"
65,Refused
66,"No Innocent Victim"
67,"Cibo Matto"
68,"Randolph's Grin"
69,"Gals Panic"
70,"Collective Soul"
71,Sober
72,KMFDM
73,Chumbawamba
74,Lush
75,Radiohead
76,"David Bowie"
77,Beck
78,"Kula Shaker"
79,"Days Of The New"
80,Silage
81,Merzbow
82,Stereolab
83,"Jazz Butcher Conspiracy"
84,Everclear
85,"Blink 182"
86,"Collateral Damage"
87,"Bar Feeders"
88,"London After Midnight"
89,Sundays
90,"Major Accident"
91,Randumbs
92,"James Iha"
93,"The Church"
94,"Pearl Jam"
95,Cake
96,Space
97,"Seven Year Bitch"
98,"Marcy Playground"
99,"The Hal Al Shedad"
100,"Frank Black"
101,Eels
102,"Louis Philippe"
103,James
104,Suede
105,"Carter the Unstoppable Sex Machine"
106,"Cocteau Twins"
107,"Clair Obscure"
108,"Death in June"
109,Delicatessen
110,"Cockney Rejects"
111,Damned
112,"Elijah's Mantle"
113,Gene
114,"Fields Of The Nephilim"
115,Belly
116,"Danielle Dax"
