id,label_name
1,"emi france"
2,"Black Hearts & Pink Parts Records"
3,"Lookout Records/Tvt"
4,"Receiver (UK)"
5,"Lookout -- Mordam --"
6,"Fuse Records"
7,"Lookout Records"
8,Lookout!
9,Squid
10,"Moon Ska/Caroline"
11,"Lookout! Records"
12,"Cop International"
13,"Minus Habens"
14,Setanta
15,Homestead/Giant/Positive
16,Hyperium
17,"Raj Records"
18,"Flying Tart Records"
19,"Tooth & Nail Records"
20,"Shimmy Disc"
21,"Nipp Guitar"
22,"MUNICH CD"
23,Ichiban
24,Uni/Mercury
25,"Young God / Sky"
26,Bdp
27,Verdugo
28,"T.E.C. Tones"
29,"Chapter 22"
30,"Hippy Knight Records"
31,"Red Eye"
32,Recess
33,Bulge
34,Re-Constriction
35,"Pgd/Dr. Dream"
36,"No Life"
37,"Sidekicks (Swe)"
38,Rpm
39,"Deprogrammed Productions"
40,"ATLANTIC/Q RECORDS"
41,"Lethal Records -- Rotz --"
42,"Dossier (Ger)"
43,Soleilmoon
44,Amoeba
45,"Vinyl Communications"
46,Loud
47,Allied
48,"Sympathy for the Record Indust"
49,Musicrama/Koch
50,"Tvt/Wax Trax"
51,Frontier
52,"Bella Union -- Dei --"
53,"Morgan Creek Records"
54,"Burning Heart (Swe)"
55,"Rescue Records"
56,"El Diablo Records"
57,"Cargo Records Chicago"
58,"Goopy Pyramid Records"
59,"Warner -- Bayside --"
60,Pid
61,Geffen
62,Sub-Lime
63,"Extreme -- D.E.I. --"
64,Msi
65,Msi/Emd
66,"Msi Duplicate Numbers"
67,"New Age Records"
68,"Dill Records"
69,"Apocalyptic Vision (Ger)"
70,MSI/EMI/Parlophone
71,Gmm
72,C/Z
73,"Troubleman Unlimited/Ada"
74,Uni
75,Polys
76,fontana
77,Sony
78,Chrysalis
79,4ad
80,Bmg
81,"New European Recordings"
82,Pinn
83,Cas
84,Teichiku
85,World
86,Polydor
87,"Beggars Banquet"
88,"World Serpent"
89,Mfn
90,Sain
91,Universal
92,Witz
93,"Atlantic / Mammoth"
94,"Warner Brothers Music"
95,Hut
96,Dmd
97,Emi
98,"Creation Records"
99,Mca
100,Cargo
101,"ISOTOPE MUSIC INC."
102,Creat
103,"For L"
104,Restless
105,"Play It Again Sam"
106,Pias
107,London
108,Reprise
109,"Beggar's Banquet"
110,Gr.Ex
111,"SI Music"
112,Amalg
113,Hyper
114,"Rough Trade"
115,"Out of Step"
116,Centaur
117,Polygram
118,"Arthur's Round Table"
119,"Merciful Release"
120,Cr.Be
121,"Biter Of Thorpe"
122,Dojo
123,Bb
