"artist","title","label","imUrl","root-genre","first-release-year"
"The Sudden Passion","Southern Fashion","Black Hearts & Pink Parts Records","http://ecx.images-amazon.com/images/I/6139OLQUB5L._SL500_SY300_.jpg","Alternative Rock","2012"
"Geoffrey Oryema","Exile","emi france","http://ecx.images-amazon.com/images/I/51x8skEGtXL._SX300_.jpg","Alternative Rock","1990"
"Wesley Willis","Wesley Willis","Fuse Records","http://ecx.images-amazon.com/images/I/51OK3665P9L._SL500_.jpg","Alternative Rock","1995"
"Pansy Division","Deflowered","Lookout -- Mordam --","http://ecx.images-amazon.com/images/I/51ARPPY94SL._SX300_.jpg","Alternative Rock","1992"
"Green Day","1,039 / Smoothed Out Slappy Hours","Lookout Records/Tvt","http://ecx.images-amazon.com/images/I/514507RCQHL.jpg","Alternative Rock","1991"
"999","Emergency","Receiver (UK)","http://ecx.images-amazon.com/images/I/51V%2B9bfcrjL._SY300_.jpg","Alternative Rock","1997"
"Green Day","Kerplunk!","Lookout  Records","http://ecx.images-amazon.com/images/I/41MKRBQE1CL._SX300_.jpg","Alternative Rock","1992"
"Fifteen","Choice of a New Generation","Lookout -- Mordam --","http://ecx.images-amazon.com/images/I/315PFDF7AWL.jpg","Alternative Rock","1994"
"Hi-Fives","Welcome to My Mind","Lookout -- Mordam --","http://ecx.images-amazon.com/images/I/5158JYAWXGL._SX300_.jpg","Alternative Rock","1995"
"Mr. T Experience","Love Is Dead","Lookout -- Mordam --","http://ecx.images-amazon.com/images/I/41NGY4VRZ7L.jpg","Alternative Rock","1996"
"Queers","A Day Late and a Dollar Short","Lookout Records","http://ecx.images-amazon.com/images/I/41DSMRXX2AL.jpg","Alternative Rock","1996"
"Pinhead Gunpowder","Carry the Banner","Lookout -- Mordam --","http://ecx.images-amazon.com/images/I/51ATZXNQ2YL.jpg","Alternative Rock","1995"
"Pansy Division","More Lovin' from Our Oven","Lookout -- Mordam --","http://ecx.images-amazon.com/images/I/51A7Q84CAQL.jpg","Alternative Rock","1997"
"Queers","Don't Back Down","Lookout!","http://ecx.images-amazon.com/images/I/41D29WG33PL.jpg","Alternative Rock","1996"
"Queers","Love Songs for the Retarded","Lookout! Records","http://ecx.images-amazon.com/images/I/51M5GGJXX4L._SX300_.jpg","Alternative Rock","1993"
"Riverdales","Riverdales","Lookout -- Mordam --","http://ecx.images-amazon.com/images/I/411AVFVFFQL._SX300_.jpg","Alternative Rock","1995"
"Filth/Blatz","Shit Split","Lookout -- Mordam --","http://ecx.images-amazon.com/images/I/41SKX6EG1BL.jpg","Alternative Rock","1994"
"Groovie Ghoulies","Appetite for Adrenochrome","Lookout Records/Tvt","http://ecx.images-amazon.com/images/I/31J2S4PYQRL.jpg","Alternative Rock","1989"
"Industrial Artz","6 Demon Bang","Squid","http://ecx.images-amazon.com/images/I/61hk-kX-uZL._SL500_SX300_.jpg","Alternative Rock","1992"
"Allstonians","Go You","Moon Ska/Caroline","http://ecx.images-amazon.com/images/I/31TWHM9TJCL.jpg","Alternative Rock","1994"
"Diatribe","Therapy","Cop International","http://ecx.images-amazon.com/images/I/612Y%2BLWzbaL._SL500_SY300_.jpg","Alternative Rock","1991"
"Dive","Concrete Jungle","Minus Habens","http://ecx.images-amazon.com/images/I/31I9ySDcAML._SL500_.jpg","Alternative Rock","1993"
"Battery","Mutate","Cop International","http://ecx.images-amazon.com/images/I/5174txcnk%2BL._SX300_.jpg","Alternative Rock","1993"
"Pony","Cosmovalidator ","Homestead/Giant/Positive","http://ecx.images-amazon.com/images/I/2108Q9B1QVL.jpg","Alternative Rock","1994"
"The Divine Comedy","Promenade","Setanta","http://ecx.images-amazon.com/images/I/41R44MA7RWL._SX300_.jpg","Alternative Rock","1994"
"Stoa","Urthona","Hyperium","http://ecx.images-amazon.com/images/I/51ETILoCB0L._SY300_.jpg","Alternative Rock","1993"
"Punch The Clown","Is Caught Red Handed","Raj Records","http://ecx.images-amazon.com/images/I/31ciV6LMaUL._SL500_.gif","Alternative Rock","1994"
"Fluffy","Fluffy Vs. Phantasmic","Flying Tart Records","http://ecx.images-amazon.com/images/I/51fTOnrr5xL._SY300_.jpg","Alternative Rock","1996"
"Dogbowl","Tit! ","Shimmy Disc","http://ecx.images-amazon.com/images/I/11U4E5SJ-UL._SL500_.jpg","Alternative Rock","1989"
"Z-Rock","Z-Rock Hawaii","Nipp Guitar","http://ecx.images-amazon.com/images/I/514WE404ZSL.jpg","Alternative Rock","1996"
"Swans","White Light from the Mouth of","Ichiban","http://ecx.images-amazon.com/images/I/21H06EEMRSL.jpg","Alternative Rock","1991"
"Kroonenberg","NATURAL CAUSES","MUNICH CD","http://ecx.images-amazon.com/images/I/21TWAYM6P0L.jpg","Alternative Rock","2010"
"OC Supertones","Adventures of The O.C. Supertones","Tooth & Nail Records","http://ecx.images-amazon.com/images/I/416V9NS2EGL.jpg","Alternative Rock","1996"
"Swans","Omniscience","Young God / Sky","http://ecx.images-amazon.com/images/I/21ZBJKWZV4L.jpg","Alternative Rock","1992"
"Articles","Flip Freal","Moon Ska/Caroline","http://ecx.images-amazon.com/images/I/21R8DP645RL.jpg","Alternative Rock","1997"
"The Birthday Party","Prayers on Fire","Bdp","http://g-ecx.images-amazon.com/images/G/01/x-site/icons/no-img-lg._V192198674_.gif","Alternative Rock","1981"
"Superchunk","Hit Self-Destruct","Hippy Knight Records","http://ecx.images-amazon.com/images/I/415qyJ0SewL._SY300_.jpg","Alternative Rock","1993"
"Tubalcain","25 Assorted Needles","Verdugo","http://ecx.images-amazon.com/images/I/31F7AYVA5GL.jpg","Alternative Rock","1992"
"Mx-80","Out of Control","T.E.C. Tones","http://ecx.images-amazon.com/images/I/61go3skqlDL._SL500_SX300_.jpg","Alternative Rock","1993"
"Catherine Wheel","Judy Staring at the Sun","Uni/Mercury","http://ecx.images-amazon.com/images/I/41mMSLtEJqL._SL500_.jpg","Alternative Rock","1995"
"Diatribe","Nothing","Re-Constriction","http://ecx.images-amazon.com/images/I/51wXZYDlLCL._SL500_SX300_.jpg","Alternative Rock","1992"
"One 21","In the Year King Uzziah Died","Flying Tart Records","http://ecx.images-amazon.com/images/I/61hoNs202UL._SX300_.jpg","Alternative Rock","1997"
